company_id,trades,pnl_sum,pnl_mean,pnl_std
213,10,3204.5945715645375,320.45945715645377,2234.229573775965
214,5,-24202.45548690013,-4840.491097380026,8638.325244630645
215,8,-2.5322383485030855,-0.3165297935628857,343.08658040920403
217,12,-1376.634594590024,-114.71954954916868,548.0251777110878
218,3,731.9975225115861,243.9991741705287,687.2520914396903
219,7,-276.8378271764339,-39.548261025204845,77.15976587524192
220,6,-146.61410883675714,-24.43568480612619,33.50917594290215
221,6,-101.18617300500648,-16.86436216750108,245.327959333517
222,32,-1094.701081891437,-34.20940880910741,347.16507483985555
223,21,-62958.06122813555,-2998.0029156255023,11040.800488685583
224,2,267.26255324859,133.631276624295,251.40158854170681
225,1,-132.4094743038484,-132.4094743038484,
226,9,-35.76534069225607,-3.9739267435840073,52.10348292925421
227,17,-10803.591407329475,-635.5053769017338,2024.8308666265966
228,33,-165621.73300942554,-5018.840394225016,25135.11541634166
229,5,-252.93050123847513,-50.58610024769503,785.160358102821
231,5,-587.7627550621447,-117.55255101242895,289.4700565007017
232,25,-254.22424453083252,-10.1689697812333,61.25057896467968
235,3,41.33686332659789,13.778954442199298,330.5292601017722
236,17,-2130.9635955897247,-125.35079974057204,264.4710042759274
238,6,1864.3097701477218,310.7182950246203,1636.3374734149108
240,9,-1431.6628165886448,-159.07364628762718,302.4930644691031
241,1,-176.54596573846453,-176.54596573846453,
242,11,-757.6109575427828,-68.87372341298025,262.17613780292476
243,28,-4599.678900181053,-164.2742464350376,613.0922630023306
244,10,-487.1029455002983,-48.71029455002983,160.0589995186003
245,2,-51.243392548977624,-25.621696274488812,743.9957594175899
246,24,-152.08750390473273,-6.336979329363864,108.40855313865978
247,32,-13548.332415323199,-423.38538797884996,1007.2258707486338
248,5,-24.174339775566054,-4.834867955113211,9.885529404048517
249,1,-110.34122858654034,-110.34122858654034,
250,8,-370.8014330087208,-46.3501791260901,272.2623864280984
251,1,-66.2047371519242,-66.2047371519242,
252,1,-198.6142114557726,-198.6142114557726,
253,19,-460.5093472343111,-24.237334064963743,56.156226588553174
254,8,-1377.7106980672672,-172.2138372584084,369.1204741991084
255,1,-88.27298286923227,-88.27298286923227,
257,6,-1246.7803722691067,-207.79672871151777,263.197593475893
258,1,-1103.4122858654034,-1103.4122858654034,
260,2,17.968774313389858,8.984387156694929,43.91505455780766
261,2,-31.96783784983313,-15.983918924916566,227.06902420610334
262,2,-46.18622713657524,-23.09311356828762,60.969042767902636
263,8,-1620.5626221527036,-202.57032776908795,447.16267082244065
264,11,-130727.52837945857,-11884.32076176896,21566.42946663533
265,8,-22075.465084127653,-2759.4331355159566,4419.402510615248
266,2,-256.59015075875135,-128.29507537937567,338.7169042661257
267,1,-44.13649143461613,-44.13649143461613,
268,4,-3470.025988855341,-867.5064972138352,1690.1301849961799
270,11,-7073.841778001047,-643.0765252728224,1763.2085552858769
271,4,7646.790581601026,1911.6976454002565,6410.4006387297395
274,12,-1758.4984867642138,-146.5415405636845,2877.5649839837915
275,28,-556.6548633918844,-19.880530835424445,437.1953187900702
276,4,-163.79623410586296,-40.94905852646574,66.86538953989279
277,5,-345.6508318856656,-69.13016637713312,157.8770346307262
278,5,-925.3697617768065,-185.0739523553613,374.0471354980282
279,7,-1838.657384650903,-262.6653406644147,452.04759485866566
280,1,-22.068245717308066,-22.068245717308066,
281,2,-59.53190048014122,-29.76595024007061,51.53222664716659
282,13,-450.13013593191397,-34.62539507168569,161.2547523737134
283,3,-48.47102645302286,-16.157008817674285,62.4543761379413
284,2,-61.58163618210031,-30.790818091050156,81.29205702387017
285,5,-799.8270786903831,-159.96541573807662,274.1684789335465
288,3,40.736043628409014,13.578681209469671,35.76400014480816
289,26,-3711.9375181561445,-142.76682762139018,359.00732099247386
290,16,-11309.977795972398,-706.8736122482749,2775.339737645726
291,25,-11959.224354690472,-478.3689741876189,2667.3563070902633
292,33,-4915.771727577893,-148.96277962357252,447.00850240943635
293,2,289.5053421545333,144.75267107726665,267.1296154096002
294,13,-134.49085178194883,-10.345450137072987,55.077503227554836
295,19,-284.70773655348114,-14.984617713341112,77.32784244178386
296,7,-477.1561973579653,-68.1651710511379,153.50472288470837
297,32,-5890.751203046258,-184.08597509519555,636.9366816854553
302,1,-132.4094743038484,-132.4094743038484,
303,6,-64187.21537523465,-10697.869229205775,12424.989524362176
304,9,-2874.2953024986164,-319.3661447220685,638.4937692335566
306,11,-13542.763285104485,-1231.1602986458622,2178.671739650047
307,21,-192.72303531746888,-9.177287396069946,27.767004287537667
308,3,173.4565667736145,57.81885559120483,189.903105109696
310,3,-760.8564432896956,-253.61881442989852,1315.1677770094695
311,10,-2395.615849436784,-239.5615849436784,646.108538626866
313,19,-18389.713443759305,-967.8796549347003,1875.6375542377807
314,14,-1560.8622825756509,-111.49016304111792,2435.946359394522
315,4,-3704.692533894561,-926.1731334736403,1393.584121976742
316,15,-1488.5546646032012,-99.23697764021341,2364.217093957058
318,6,-6626.903002978707,-1104.4838338297845,1918.904008102631
320,10,-25564.724884929143,-2556.472488492914,8399.915633300654
321,6,-1867.0917851309441,-311.18196418849067,589.505400634817
322,9,-1071.7915448177569,-119.0879494241952,219.71833144596704
323,3,10.938982332241551,3.646327444080517,133.04309012707836
324,1,-625.2669619903952,-625.2669619903952,
325,1,-367.8040952884678,-367.8040952884678,
327,2,-284.7926760613822,-142.3963380306911,578.851477304709
328,13,-2750.1706569281755,-211.55158899447503,574.1961397830556
329,9,-26.065005173490306,-2.8961116859433673,167.15521844627776
330,4,-192.75935989289195,-48.18983997322299,73.03513407197258
331,10,-1572.471803001457,-157.2471803001457,476.10400530692164
332,7,-1733.8461755487624,-247.69231079268033,300.86680370395857
333,9,-468.8118546086728,-52.090206067630305,126.3881420539389
